,Car Usage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,2
33,3
34,5
35,7
36,9
37,7
38,8
39,7
40,5
41,2
42,2
43,4
44,3
45,2
46,4
47,4
48,4
49,3
50,3
51,4
52,3
53,3
54,3
55,4
56,5
57,3
58,5
59,6
60,8
61,4
62,3
63,5
64,4
65,3
66,3
67,2
68,2
69,1
70,2
71,2
72,3
73,3
74,3
75,2
76,1
77,1
78,2
79,1
80,1
81,1
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,2
127,4
128,10
129,11
130,9
131,9
132,12
133,8
134,9
135,7
136,8
137,7
138,8
139,8
140,9
141,9
142,8
143,9
144,9
145,10
146,8
147,6
148,9
149,7
150,9
151,6
152,5
153,8
154,7
155,5
156,5
157,6
158,7
159,6
160,5
161,4
162,5
163,2
164,1
165,4
166,7
167,8
168,7
169,7
170,6
171,6
172,5
173,3
174,2
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,2
224,4
225,4
226,8
227,10
228,10
229,12
230,5
231,12
232,11
233,12
234,9
235,9
236,6
237,3
238,5
239,9
240,10
241,8
242,11
243,9
244,10
245,7
246,6
247,5
248,6
249,7
250,7
251,8
252,8
253,6
254,5
255,2
256,2
257,5
258,4
259,4
260,8
261,7
262,6
263,8
264,9
265,5
266,4
267,6
268,5
269,3
270,3
271,4
272,1
273,1
274,1
275,1
276,1
277,0
278,0
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,2
325,2
326,1
327,0
328,0
329,0
330,2
331,2
332,1
333,3
334,2
335,2
336,5
337,6
338,4
339,2
340,1
341,2
342,4
343,4
344,2
345,4
346,3
347,6
348,10
349,6
350,6
351,3
352,4
353,5
354,4
355,3
356,1
357,3
358,1
359,1
360,0
361,2
362,1
363,2
364,2
365,3
366,2
367,2
368,3
369,2
370,2
371,2
372,1
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,0
421,0
422,3
423,2
424,1
425,5
426,5
427,4
428,3
429,4
430,3
431,3
432,3
433,2
434,5
435,2
436,3
437,3
438,8
439,4
440,4
441,7
442,6
443,6
444,3
445,2
446,2
447,3
448,4
449,5
450,8
451,2
452,1
453,0
454,1
455,3
456,4
457,4
458,5
459,4
460,3
461,3
462,1
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,2
507,4
508,5
509,10
510,9
511,10
512,10
513,12
514,8
515,7
516,9
517,17
518,5
519,10
520,9
521,9
522,8
523,12
524,8
525,9
526,12
527,10
528,10
529,11
530,10
531,14
532,9
533,9
534,11
535,11
536,10
537,6
538,7
539,5
540,6
541,6
542,6
543,6
544,6
545,9
546,4
547,8
548,10
549,8
550,9
551,7
552,11
553,5
554,8
555,7
556,7
557,4
558,3
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,2
568,2
569,2
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,2
603,2
604,4
605,2
606,3
607,5
608,6
609,10
610,11
611,13
612,9
613,10
614,12
615,8
616,12
617,11
618,9
619,11
620,10
621,11
622,12
623,14
624,7
625,11
626,10
627,11
628,9
629,12
630,10
631,8
632,10
633,9
634,8
635,6
636,3
637,4
638,3
639,8
640,7
641,5
642,4
643,4
644,11
645,8
646,9
647,10
648,8
649,5
650,9
651,6
652,5
653,5
654,5
655,2
656,0
657,0
658,0
659,1
660,0
661,1
662,1
663,1
664,1
665,1
666,2
667,2
668,2
669,2
670,1
671,1
