,Loss
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,7
28,9
29,21
30,49
31,144
32,232
33,303
34,379
35,474
36,538
37,483
38,435
39,422
40,413
41,401
42,398
43,402
44,401
45,402
46,410
47,412
48,409
49,408
50,396
51,398
52,390
53,386
54,387
55,398
56,398
57,394
58,395
59,394
60,394
61,377
62,361
63,343
64,301
65,269
66,231
67,173
68,108
69,56
70,43
71,82
72,106
73,112
74,101
75,98
76,77
77,38
78,40
79,37
80,37
81,16
82,16
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,11
126,45
127,143
128,231
129,358
130,487
131,538
132,522
133,563
134,592
135,554
136,544
137,547
138,554
139,550
140,561
141,567
142,557
143,556
144,562
145,564
146,558
147,548
148,554
149,546
150,546
151,541
152,533
153,540
154,548
155,547
156,540
157,532
158,525
159,514
160,437
161,379
162,342
163,208
164,74
165,30
166,53
167,133
168,172
169,199
170,154
171,172
172,93
173,69
174,45
175,4
176,4
177,4
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,7
222,48
223,110
224,174
225,238
226,339
227,501
228,523
229,554
230,533
231,446
232,368
233,323
234,290
235,278
236,262
237,257
238,253
239,265
240,283
241,281
242,264
243,261
244,245
245,239
246,239
247,227
248,221
249,224
250,211
251,219
252,171
253,164
254,152
255,134
256,121
257,126
258,114
259,93
260,92
261,50
262,75
263,126
264,123
265,128
266,109
267,97
268,83
269,20
270,21
271,23
272,1
273,1
274,1
275,3
276,2
277,1
278,1
279,5
280,4
281,4
282,4
283,3
284,3
285,3
286,3
287,7
288,4
289,6
290,6
291,3
292,1
293,1
294,1
295,1
296,2
297,2
298,2
299,2
300,3
301,3
302,4
303,4
304,4
305,5
306,5
307,5
308,5
309,5
310,6
311,5
312,5
313,5
314,5
315,5
316,5
317,6
318,7
319,6
320,6
321,7
322,6
323,7
324,7
325,8
326,5
327,6
328,4
329,4
330,7
331,13
332,10
333,17
334,18
335,20
336,23
337,23
338,25
339,19
340,13
341,20
342,28
343,32
344,37
345,33
346,29
347,44
348,53
349,36
350,22
351,26
352,32
353,34
354,29
355,13
356,10
357,16
358,6
359,5
360,2
361,8
362,6
363,14
364,12
365,15
366,12
367,12
368,10
369,7
370,6
371,7
372,2
373,1
374,1
375,1
376,1
377,0
378,1
379,1
380,1
381,1
382,3
383,3
384,3
385,2
386,2
387,2
388,3
389,3
390,3
391,4
392,3
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,4
416,4
417,3
418,3
419,2
420,0
421,2
422,6
423,13
424,15
425,23
426,28
427,34
428,32
429,29
430,24
431,22
432,28
433,29
434,43
435,31
436,41
437,34
438,46
439,30
440,37
441,43
442,39
443,33
444,17
445,22
446,21
447,17
448,22
449,24
450,32
451,19
452,15
453,11
454,16
455,30
456,33
457,34
458,35
459,26
460,22
461,22
462,11
463,6
464,4
465,6
466,6
467,5
468,4
469,5
470,6
471,7
472,7
473,8
474,7
475,8
476,11
477,11
478,11
479,11
480,12
481,12
482,12
483,12
484,12
485,12
486,12
487,12
488,12
489,12
490,11
491,11
492,11
493,11
494,10
495,10
496,10
497,10
498,9
499,9
500,9
501,10
502,11
503,12
504,16
505,24
506,41
507,53
508,62
509,83
510,208
511,345
512,559
513,784
514,1022
515,1342
516,1464
517,1323
518,1340
519,1262
520,1171
521,1102
522,1017
523,950
524,939
525,881
526,815
527,762
528,688
529,627
530,598
531,557
532,533
533,507
534,488
535,461
536,439
537,425
538,420
539,418
540,410
541,395
542,388
543,381
544,347
545,335
546,325
547,347
548,429
549,402
550,347
551,345
552,300
553,302
554,330
555,316
556,276
557,210
558,157
559,131
560,107
561,90
562,91
563,89
564,87
565,90
566,94
567,78
568,54
569,55
570,56
571,57
572,56
573,56
574,59
575,60
576,62
577,61
578,62
579,62
580,62
581,65
582,65
583,65
584,65
585,65
586,66
587,66
588,66
589,66
590,66
591,66
592,66
593,66
594,66
595,66
596,67
597,69
598,69
599,65
600,65
601,66
602,65
603,71
604,79
605,77
606,79
607,182
608,300
609,476
610,668
611,836
612,1027
613,1032
614,1034
615,1043
616,997
617,942
618,900
619,874
620,857
621,836
622,799
623,780
624,780
625,748
626,736
627,740
628,726
629,714
630,698
631,699
632,680
633,674
634,672
635,641
636,623
637,613
638,601
639,603
640,577
641,568
642,522
643,498
644,419
645,310
646,223
647,213
648,238
649,240
650,134
651,84
652,86
653,94
654,70
655,18
656,14
657,11
658,17
659,23
660,22
661,30
662,36
663,43
664,44
665,45
666,46
667,50
668,49
669,51
670,47
671,47
