Terminal Name,ID,Number of Docks,Name
001023,1,19,"River Street , Clerkenwell"
001018,2,37,"Phillimore Gardens, Kensington"
001012,3,32,"Christopher Street, Liverpool Street"
001013,4,23,"St. Chad's Street, King's Cross"
003420,5,27,"Sedding Street, Sloane Square"
003424,6,18,"Broadcasting House, Marylebone"
003422,7,16,"Charlbert Street, St. John's Wood"
003423,8,39,"Maida Vale, Maida Vale"
001015,9,19,"New Globe Walk, Bankside"
001024,10,18,"Park Street, Bankside"
001022,11,24,"Brunswick Square, Bloomsbury"
000980,12,49,"Malet Street, Bloomsbury"
000970,13,21,"Scala Street, Fitzrovia"
001011,14,45,"Argyle Street, Kings Cross"
000988,15,26,"Great Russell Street, Bloomsbury"
001010,16,21,"Cartwright Gardens , Bloomsbury"
001008,17,26,"Hatton Wall, Holborn"
001007,18,27,"Drury Lane, Covent Garden"
001009,19,30,"Taviton Street, Bloomsbury"
000993,20,28,"Drummond Street , Euston"
003426,21,26,"Lansdowne Drive, Hackney Central"
003425,22,19,"Northington Street , Holborn"
003421,23,16,"Red Lion Square, Holborn"
000981,24,35,"British Museum, Bloomsbury"
001004,25,50,"Doric Way , Somers Town"
001019,26,21,"Ampton Street , Clerkenwell"
001021,27,33,"Bouverie Street, Temple"
001025,28,19,"Bolsover Street, Fitzrovia"
001016,29,22,"Hereford Road, Bayswater"
001029,30,24,"Windsor Terrace, Hoxton"
003427,31,36,"Fanshaw Street, Hoxton"
001020,32,43,"Leonard Circus , Shoreditch"
003430,33,18,"Central House, Aldgate"
003428,34,16,"Pancras Road, King's Cross"
003446,36,28,"De Vere Gardens, Kensington"
003444,37,17,"Penywern Road, Earl's Court"
003442,38,17,"Abingdon Villas, Kensington"
003445,39,41,"Shoreditch High Street, Shoreditch"
001083,40,16,"Commercial Street, Shoreditch"
001084,41,24,"Pindar Street, Liverpool Street"
000979,42,28,"Wenlock Road , Hoxton"
001036,43,18,"Crawford Street, Marylebone"
001034,44,21,"Bruton Street, Mayfair"
001035,45,26,"Boston Place, Marylebone"
001031,46,16,"Nesham Street, Wapping"
001027,47,19,"Warwick Avenue Station, Maida Vale"
000971,48,25,"Godliman Street, St. Paul's"
003437,49,16,"Curzon Street, Mayfair"
001054,50,27,"East Road, Hoxton"
000986,51,29,"Finsbury Library , Finsbury"
001026,52,18,"Roscoe Street, St. Luke's"
003431,53,18,"Grafton Street, Mayfair"
000967,54,27,"Golden Lane, Barbican"
000984,55,33,"Finsbury Circus, Liverpool Street"
001033,56,16,"Paddington Street, Marylebone"
000974,57,32,"Guilford Street , Bloomsbury"
001032,58,20,"New Inn Yard, Shoreditch"
001030,60,18,"Lisson Grove, St. John's Wood"
001017,61,33,"Great Dover Street, The Borough"
000990,62,24,"Cotton Garden Estate, Kennington"
000989,63,27,"Murray Grove , Hoxton"
001028,64,26,"William IV Street, Strand"
000969,65,17,"Gower Place , Euston"
000982,66,40,"Holborn Circus, Holborn"
000985,67,28,"Hatton Garden, Holborn"
000975,68,26,"Theobald's Road , Holborn"
000983,69,24,"Euston Road, Euston"
001066,70,24,"Calshot Street , King's Cross"
001074,71,34,"Newgate Street , St. Paul's"
003432,72,16,"Farringdon Lane, Clerkenwell"
001064,73,34,"Old Street Station, St. Luke's"
001000,74,17,"Vauxhall Cross, Vauxhall"
001060,75,19,"Torrens Street, Angel"
000976,76,21,"Longford Street, The Regent's Park"
000978,77,26,"Russell Square Station, Bloomsbury"
003433,78,17,"Sadlers Sports Centre, Finsbury"
003455,79,18,"Arundel Street, Temple"
003448,80,45,"Webber Street , Southwark"
003450,81,19,"Great Titchfield Street, Fitzrovia"
003452,83,21,"Panton Street, West End"
003449,84,25,"Breams Buildings, Holborn"
000994,85,41,"Tanner Street, Bermondsey"
003434,86,24,"Sancroft Street, Vauxhall"
001006,88,25,"Bayley Street , Bloomsbury"
003439,89,19,"Tavistock Place, Bloomsbury"
001038,90,27,"Harrington Square 1, Camden Town"
001076,91,20,"Walnut Tree Walk, Vauxhall"
001082,92,41,"Borough Road, Elephant & Castle"
002586,93,37,"Cloudesley Road, Angel"
001070,94,28,"Bricklayers Arms, Borough"
001065,95,15,"Aldersgate Street, Barbican"
001047,96,26,"Falkirk Street, Hoxton"
003447,97,18,"Gloucester Road (North), Kensington"
000972,98,54,"Hampstead Road, Euston"
001085,99,16,"Old Quebec Street, Marylebone"
001059,100,24,"Albert Embankment, Vauxhall"
000999,101,22,"Queen Street 1, Bank"
001045,102,17,"Jewry Street, Aldgate"
003441,103,18,"Vicarage Gate, Kensington"
000991,104,34,"Crosswall, Tower"
001041,105,26,"Westbourne Grove, Bayswater"
001042,106,21,"Woodstock Street, Mayfair"
001049,107,20,"Finsbury Leisure Centre, St. Luke's"
003429,108,29,"Abbey Orchard Street, Westminster"
001052,109,57,"Soho Square , Soho"
001055,110,17,"Wellington Road, St. John's Wood"
001037,111,28,"Park Lane , Hyde Park"
003435,113,19,"Gloucester Road (Central), South Kensington"
001050,114,22,"Park Road (Baker Street), The Regent's Park"
001062,115,34,"Braham Street, Aldgate"
000995,116,21,"Little Argyll Street, West End"
000998,117,25,"Lollard Street, Vauxhall"
003457,118,13,"Rochester Row, Westminster"
000964,119,18,"Bath Street, St. Luke's"
001044,120,17,"The Guildhall, Guildhall"
001086,121,22,"Baker Street, Marylebone"
001068,122,23,"Norton Folgate, Liverpool Street"
000992,123,18,"St. John Street, Finsbury"
000996,125,21,"Borough High Street, The Borough"
001043,126,52,"Museum of London, Barbican"
001063,127,17,"Wood Street, Guildhall"
001116,128,22,"Emperor's Gate, South Kensington"
003451,129,18,"Golden Square, Soho"
001071,130,24,"Tower Gardens , Tower"
001005,131,16,"Eversholt Street , Camden Town"
000973,132,38,"Bethnal Green Road, Shoreditch"
003436,133,18,"Derry Street, Kensington"
001039,134,20,"Wapping High Street, Wapping"
001053,135,21,"Clerkenwell Green, Clerkenwell"
001048,136,32,"Queen Victoria Street, St. Paul's"
003464,138,19,"Green Street, Mayfair"
001078,139,18,"Lambeth Road, Vauxhall"
001056,140,33,"Finsbury Square , Moorgate"
001003,141,29,"Chapel Place, Marylebone"
001001,142,24,"West Cromwell Road, Earl's Court"
001114,143,24,"Pont Street, Knightsbridge"
001093,144,47,"Kennington Cross, Kennington"
001115,145,24,"Ilchester Place, Kensington"
001046,146,35,"Vauxhall Bridge , Pimlico"
003456,147,16,"Portugal Street, Holborn"
000965,148,16,"Tachbrook Street, Victoria"
001073,149,18,"Kennington Road Post Office, Oval"
001002,150,28,"Holy Trinity Brompton, Knightsbridge"
001120,151,26,"Chepstow Villas, Notting Hill"
001118,152,21,"Hampton Street, Walworth"
001096,153,27,"Bayswater Road, Hyde Park"
001072,154,35,"Waterloo Station 3, Waterloo"
001121,155,19,"Lexham Gardens, Kensington"
000966,156,33,"New Kent Road, The Borough"
001094,157,37,"Wright's Lane, Kensington"
001113,158,18,"Trebovir Road, Earl's Court"
003458,160,20,"Waterloo Place, St. James's"
003478,161,16,"Guildhouse Street, Victoria"
001123,162,20,"Southampton Place, Holborn"
003461,163,27,"Sloane Avenue, Knightsbridge"
001178,164,16,"Cleveland Gardens, Bayswater"
002585,165,15,"Orsett Terrace, Bayswater"
001177,166,27,"Seville Street, Knightsbridge"
003465,167,19,"Eccleston Place, Victoria"
003463,168,19,"Argyll Road, Kensington"
003477,169,18,"Porchester Place, Paddington"
001057,170,30,"Hardwick Street, Clerkenwell"
003459,171,14,"Collingham Gardens, Earl's Court"
001124,172,19,"Sumner Place, South Kensington"
001176,173,15,"Waterloo Road, South Bank"
000997,175,51,"Worship Street, Shoreditch"
001173,176,23,"Gloucester Terrace, Bayswater"
001122,177,25,"Ashley Place, Victoria"
003460,178,19,"Warwick Square, Pimlico"
001126,180,17,"North Audley Street, Mayfair"
003473,181,21,"Belgrave Square, Belgravia"
001166,182,18,"Bell Street , Marylebone"
001165,183,24,"Riverlight North, Nine Elms"
001164,184,34,"Portland Place, Marylebone"
001174,185,14,"Alderney Street, Pimlico"
001167,186,16,"South Wharf Road, Paddington"
001172,187,25,"Queen's Gate (South), South Kensington"
001104,189,18,"Claremont Square, Angel"
001106,190,21,"Rampayne Street, Pimlico"
001075,191,36,"Hyde Park Corner, Hyde Park"
001163,192,16,"Wardour Street, Soho"
000963,193,49,"Bankside Mix, Bankside"
000960,194,56,"Hop Exchange, The Borough"
000959,195,30,"Milroy Walk, South Bank"
000961,196,17,"Union Street, The Borough"
000962,197,27,"Stamford Street, South Bank"
001080,199,24,"Great Tower Street, Monument"
001105,200,14,"LMU Commercial Road, Whitechapel"
001162,201,16,"Dorset Square, Marylebone"
001102,202,37,"Leman Street, Aldgate"
001040,203,15,"West Smithfield Rotunda, Farringdon"
003468,204,19,"Margery Street, Clerkenwell"
001171,206,36,"New Road 1 , Whitechapel"
001169,207,18,"Grosvenor Crescent, Belgravia"
001175,208,20,"Mallory Street, Marylebone"
003454,209,30,"Denyer Street, Knightsbridge"
003476,210,21,"Hinde Street, Marylebone"
003469,211,34,"Cadogan Place, Knightsbridge"
003487,212,17,"Campden Hill Road, Notting Hill"
001109,213,36,"Wellington Arch, Hyde Park"
001079,214,32,"Endsleigh Gardens, Euston"
001092,215,54,"Moorfields, Moorgate"
003479,216,30,"Old Brompton Road, South Kensington"
002587,217,16,"Wormwood Street, Liverpool Street"
003486,218,20,"St. Luke's Church, Chelsea"
001183,219,29,"Bramham Gardens, Earl's Court"
001179,220,15,"Chelsea Green, Chelsea"
001170,221,16,"Horseferry Road, Westminster"
001101,222,43,"Knightsbridge, Hyde Park"
003481,223,24,"Rodney Road , Walworth"
001150,224,17,"Queensway, Kensington Gardens"
001182,225,30,"Notting Hill Gate Station, Notting Hill"
003488,226,24,"Charles II Street, West End"
003470,227,23,"Great Percy Street, Clerkenwell"
001067,228,40,"St. James's Square, St. James's"
001151,229,46,"Whitehall Place, Strand"
001144,230,31,"Poured Lines, Bankside"
001089,231,31,"Queen's Gate (Central), South Kensington"
001139,232,16,"Carey Street, Holborn"
001153,233,22,"Pall Mall East, West End"
